ekatte_code,settlement_name_bg,settlement_name_en,settlement_type,oblast_code,oblast_name_bg,obshtina_name_bg,nuts3_code
14876,Гиген,Gigen,село,PVN,Плевен,Гулянци,BG314
14888,Искър,Iskar,село,PVN,Плевен,Гулянци,BG314
14893,Гигинци,Gigintsi,село,PER,Перник,Брезник,BG414
14903,Гинци,Gintsi,село,SFO,София,Годеч,BG412
14917,Гирчевци,Girchevtsi,село,KNL,Кюстендил,Кюстендил,BG415
14920,Гита,Gita,село,SZR,Стара Загора,Чирпан,BG344
14934,Глава,Glava,село,PVN,Плевен,Червен бряг,BG314
14948,Главан,Glavan,село,SLS,Силистра,Силистра,BG325
14951,Главан,Glavan,село,SZR,Стара Загора,Гълъбово,BG344
14965,Главановци,Glavanovtsi,село,MON,Монтана,Георги Дамяново,BG312
14979,Главановци,Glavanovtsi,село,PER,Перник,Трън,BG414
14982,Главанци,Glavantsi,село,DOB,Добрич,Тервел,BG332
14996,Главатар,Glavatar,село,PDV,Пловдив,Калояново,BG421
15000,Главатарци,Glavatartsi,село,KRZ,Кърджали,Кърджали,BG425
15014,Главаци,Glavatsi,село,VRC,Враца,Криводол,BG313
15028,Главиница,Glavinitsa,село,PAZ,Пазарджик,Пазарджик,BG423
15031,Главиница,Glavinitsa,град,SLS,Силистра,Главиница,BG325
15045,Глашатай,Glashatay,село,TGV,Търговище,Антоново,BG334
15059,Гледаци,Gledatsi,село,GAB,Габрово,Габрово,BG322
15062,Гледачево,Gledachevo,село,SZR,Стара Загора,Раднево,BG344
15093,Гледка,Gledka,село,HKV,Хасково,Стамболово,BG422
15103,Глогинка,Gloginka,село,TGV,Търговище,Попово,BG334
15117,Глогино,Glogino,село,SML,Смолян,Баните,BG424
15120,Глоговец,Glogovets,село,VTR,Велико Търново,Елена,BG321
15134,Глоговица,Glogovitsa,село,PER,Перник,Трън,BG414
15148,Глогово,Glogovo,село,LOV,Ловеч,Тетевен,BG315
15151,Глоджево,Glodzhevo,град,RSE,Русе,Ветово,BG323
15165,Гложене,Glozhene,село,LOV,Ловеч,Тетевен,BG315
15179,Глумово,Glumovo,село,HKV,Хасково,Ивайловград,BG422
15182,Глумче,Glumche,село,BGS,Бургас,Карнобат,BG341
15196,Глутниците,Glutnitsite,село,GAB,Габрово,Трявна,BG322
15206,Глуфишево,Glufishevo,село,SLV,Сливен,Сливен,BG342
15216,Глухар,Gluhar,село,KRZ,Кърджали,Кърджали,BG425
15223,Глушка,Glushka,село,GAB,Габрово,Дряново,BG322
15237,Глушник,Glushnik,село,SLV,Сливен,Сливен,BG342
15240,Гнездаре,Gnezdare,село,HKV,Хасково,Ивайловград,BG422
15268,Гняздово,Gnyazdovo,село,KRZ,Кърджали,Кърджали,BG425
15271,Говедаре,Govedare,село,PAZ,Пазарджик,Пазарджик,BG423
15285,Говедарци,Govedartsi,село,SFO,София,Самоков,BG412
15299,Говежда,Govezhda,село,MON,Монтана,Георги Дамяново,BG312
15309,Годеч,Godech,град,SFO,София,Годеч,BG412
